48 114
	$program	$expr	$expr_and_or	$expr_cmp	$expr_add_sub	$expr_mul_div	$expr_unar	$function	$list_arg	$call_function_arg	$list_function	$block	$line	$cmd	$	and	or	==	!=	>	>=	<	<=	+	-	*	/	%	variable	number	(	)	not	=	function	,	{	}	;	if	else	while	do	for	return	break	continue	print	
25	.	.	.	.	.	.	s56	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
26	.	.	.	.	.	.	s57	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s58	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
28	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s59	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
29	.	s15	s16	s17	s18	s19	s20	.	.	.	.	.	s60	s14	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	s35	.	.	s27	.	s28	s29	s30	s31	s32	s33	s34	
30	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s61	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
31	.	s63	s16	s17	s18	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	s62	.	.	.	.	.	.	.	.	.	
32	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s64	.	.	.	.	.	.	.	.	.	
33	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s65	.	.	.	.	.	.	.	.	.	
34	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s66	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
35	.	s15	s16	s17	s18	s19	s20	.	.	.	.	s67	.	s68	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	s27	.	s28	s29	s30	s31	s32	s33	s34	
36	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	
37	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	r31	
